wavs_paths,peak_frequency,specs,n_syllables,path,peak_freq_pred,n_syllables_pred
210405_0699_24s_tic_tt.wav,3515.625,210405_0699_24s_tic_tt.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210405_0699_24s_tic_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210715-111006_16s_uiM_tt.wav,4781.25,210715-111006_16s_uiM_tt.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210715-111006_16s_uiM_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
220120-133810_82s_TRU_tt.wav,5437.5,220120-133810_82s_TRU_tt.jpg,11.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/220120-133810_82s_TRU_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210924-075636_MEZ_tt_5s.wav,10500.0,210924-075636_MEZ_tt_5s.jpg,4.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210924-075636_MEZ_tt_5s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210412_0729_219s_ter_tt.wav,8906.25,210412_0729_219s_ter_tt.jpg,4.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210412_0729_219s_ter_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
220120-133810_53s_TRU_tt.wav,9468.75,220120-133810_53s_TRU_tt.jpg,11.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/220120-133810_53s_TRU_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
211123-104000_TRU_tt_5s.wav,3562.5,211123-104000_TRU_tt_5s.jpg,6.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/211123-104000_TRU_tt_5s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210629-075830_16s_ujfM_tt.wav,9000.0,210629-075830_16s_ujfM_tt.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210629-075830_16s_ujfM_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
221213-111919_41s_MUL_tt.wav,7687.5,221213-111919_41s_MUL_tt.jpg,15.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/221213-111919_41s_MUL_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
211215-091739_PAT_tt_27s.wav,6890.625,211215-091739_PAT_tt_27s.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/211215-091739_PAT_tt_27s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210624-143821_4s_uM_tt.wav,10640.625,210624-143821_4s_uM_tt.jpg,6.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210624-143821_4s_uM_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210621-120822_16s_ujfM_tt.wav,9562.5,210621-120822_16s_ujfM_tt.jpg,8.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210621-120822_16s_ujfM_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210617-083954_9s_mul_tt.wav,3796.875,210617-083954_9s_mul_tt.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210617-083954_9s_mul_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210928-091542_TET_tt_19s.wav,3750.0,210928-091542_TET_tt_19s.jpg,9.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210928-091542_TET_tt_19s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
211117-070643_TEL_tt_2.0s.wav,5109.375,211117-070643_TEL_tt_2.0s.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/211117-070643_TEL_tt_2.0s.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
220120-133241_52s_TRU_tt.wav,9515.625,220120-133241_52s_TRU_tt.jpg,2.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/220120-133241_52s_TRU_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
210621-121359_75s_ujfM_tt.wav,6234.375,210621-121359_75s_ujfM_tt.jpg,5.0,/nfs/turbo/coe-mihalcea/alvarovh/large_data/BigData_Bioacoustics/sciviper_spectrograms/210621-121359_75s_ujfM_tt.jpg,Exception: 'NoneType' object has no attribute 'split',Exception: 'NoneType' object has no attribute 'split'
